,,,Labour force participation rate (Male),Labour force participation rate (Female),Ratio of persons employed in primary industry,Ratio of persons employed in secondary industry,Ratio of persons employed in tertiary industry,Unemployment rate (Both sexes),Ratio of employees to all workers,Ratio of persons living and working in the same prefecture,Ratio of commuters to other municipalities,Ratio of commuters from other municipalities,Ratio of new employment,Ratio of job vacancies to application,Ratio of newly filled vacancies,Ratio of employment to part-time job applications (Regular),Ratio of aged employees (65 years old and over),Ratio of aged general workers (65 years old and over),Ratio of employment for the disabled persons,Ratio of new employment to upper secondary school graduates,Ratio of upper secondary school graduates getting jobs outside the prefecture,Job vacancies rate of new upper secondary school graduates,Ratio of new employment to college or university graduates ,Ratio of new college or university graduates not working,Ratio of persons who changed jobs,Ratio of persons who quit their jobs,Ratio of newly employed,Ratio of job changes,"Monthly average of hours actually worked
(Male)","Monthly average of hours actually worked
(Female)","Salary of part-time workers
(per hour, Male)","Salary of part-time workers (per hour, Female)","Number of part-time workers
 (Male)",Number of part-time workers (Female),Scheduled cash earnings for upper secondary school graduates (Male),Scheduled cash earnings for upper secondary school graduates (Female)
,,,#F0110101,#F0110102,#F01201,#F01202,#F01203,#F01301,#F02301,#F02501,#F02701,#F02702,#F03101,#F03103,#F03104,#F0320101,#F0350303,#F0350403,#F03602,#F03303,#F03302,#F03304,#F03403,#F03402,#F04101,#F04102,#F04103,#F04104,#F0610103,#F0610104,#F06207,#F06206,#F03242,#F03241,#F0620307,#F0620308
28,兵庫県,Hyogo-ken,64.4,44.4,2,25,69,4.6,81.9,83.1,47.4,38.3,3.9,0.87,4.5,5.3,19.7,1.36,45.9,13.5,15.3,3.11,81.9,6.5,4.6,4.5,6,8.4,179,168,"1,515","1,326","149,500","395,350",182.5,181.5
29,奈良県,Nara-ken,63.7,42.6,2.6,22.6,71.6,4.9,80.4,69.7,55.9,35.4,5.3,1.01,5.2,8.1,19.3,1.07,51.8,11.5,35.1,1.9,79.5,6.8,5.1,4.4,6.1,8.4,176,170,"1,574","1,215","27,900","81,080",175,180.5
30,和歌山県,Wakayama-ken,66.1,46,8.8,21.7,66.7,4.5,74.1,91.5,27.9,24.8,5.8,0.93,6.2,6.8,22.9,1.36,45.4,22,22.8,1.93,72.8,4.1,3.7,4.4,4.9,7.2,180,170,"1,471","1,113","16,170","54,720",171.1,159.6
31,鳥取県,Tottori-ken,67.8,51.2,8.8,21.3,66.9,3.9,77.7,95.1,23,22.8,7.4,1.24,6,8.1,24.6,1.82,68.8,25.1,24.6,2.02,66.3,4.8,4.5,3.6,4.8,7.5,177,169,"1,490","1,068","8,930","27,790",180.5,164.5
32,島根県,Shimane-ken,68.2,50.5,7.8,22.5,67.3,2.9,78.4,95.8,13.1,13.3,8.6,1.55,5.5,7.9,25.6,1.87,59.7,24.4,25,2.32,74.1,4.6,4.6,3.5,4.3,7.2,177,170,"1,445","1,187","12,020","35,000",171,170.2
33,岡山県,Okayama-ken,67.4,48.3,4.6,26.1,64.4,4.1,78.8,93.6,31.8,31.5,6.4,1.36,4.7,6.7,22.3,2.14,51.7,22.8,17.2,2.2,75.6,7.7,5.2,3.7,5.1,8,179,171,"1,475","1,324","39,140","115,610",176.1,173.4
34,広島県,Hiroshima-ken,67.1,47.7,3.1,26,67.7,3.7,81.5,95.9,33.7,34.3,5.4,1.24,4.4,5.8,22.5,1.93,46.7,14.9,13.1,3.7,81.1,6.8,4.8,4,5.4,8.4,180,169,"1,348","1,172","63,400","183,250",177.1,164.8
35,山口県,Yamaguchi-ken,65.4,45.5,4.8,25.6,67.5,4,81.2,95.7,20.1,19.5,7.6,1.31,5.8,7.4,21.9,2.08,53,30.9,17.6,2.28,73.9,8.8,4.6,4.2,4.9,7.5,180,168,"1,491","1,238","29,130","78,730",178.6,166.9
36,徳島県,Tokushima-ken,64,46.6,8.2,23.4,65.3,5,75.4,95.6,32.3,31.6,6.9,1.1,6.2,7.2,21.3,1.23,63.7,22.9,28.2,1.86,65.9,7.2,4.1,4.2,4.1,6.8,176,168,"1,620","1,151","11,720","37,820",182.7,167.1
37,香川県,Kagawa-ken,66.1,47.8,5.3,25.1,66.6,4,79.2,96.3,28.6,29.3,7.1,1.31,5.4,7.8,22.7,2.08,46.9,18.3,13.1,3.21,77.7,6.7,4.5,4,5.1,7.8,180,170,"1,683","1,239","20,210","49,570",176.9,164.9
