,Prefectures,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21, Gifu-ken,"-13,425","-13,820","-11,183","-9,649",- 7 408,"-3,909","-1,960","-5,845","-1,605",-731,"-4,034","-3,142","-7,666","-5,748","-6,745","-3,079","1,140","-2,249",-976,573,173,-66,"2,204","3,871","1,351","1,897","2,045","2,047","2,244",183,2,-852,-960,-370,798,517,"3,186",737,-1,-238,286,163,"-1,503","-1,601","-2,785","-2,210","-3,223","-3,940","-3,546","-3,149","-3,564","-3,660","-3,735","-3,728","-4,663","-5,188","-3,388","-2,351","-3,916","-4,812","-4,154","-5,194","-5,031","-5,755","-5,374","-6,233","-5,697","-5,162"
22, Shizuoka-ken,-330,"-7,577","-10,621","-7,793",- 10 528,"-8,012","-4,111","-2,485","4,421","5,716","3,964","2,691",-358,"6,646","3,844",931,"9,676","6,904","1,892","7,466",-336,"-2,876","-4,759","-4,749","-5,227","-4,707","-3,064","-2,490",-681,"-3,768","-1,481","2,626","1,449","1,715","2,710","1,195","1,057",795,-246,206,"1,819","-2,276","-1,745","-3,327","-3,039","-2,033","-1,642","-2,299","-2,850","-2,238","-2,493","-1,595","-2,064","-1,779",-943,"-3,138","-3,894","-2,074","-3,952","-6,892","-7,240","-6,206","-6,390","-5,242","-6,654","-7,398","-5,580","-4,649"
23, Aichi-ken,"30,873","33,865","50,536","51,578", 29 463,"47,549","68,607","74,643","66,409","74,853","70,807","48,907","38,225","43,167","48,238","52,012","46,316","32,407","17,591","16,984",363,"-9,991","-13,048","-6,619","-4,552","-8,645","-9,950","-9,688","-7,935","-5,285","-2,215","5,482","9,511","6,145","1,844","3,952","3,201","3,829","1,231",-172,"-3,557","-1,907","-1,790","1,951","5,601","4,051","1,660","3,358","5,748","7,243","11,324","19,258","20,999","20,520","18,391","4,075","-1,262","6,379","7,592","7,891","6,190","8,322","6,265","4,839","2,159",969,"-2,267","-2,595"
24, Mie-ken,"-8,354","-11,209","-11,484","-13,532",- 11 284,"-14,307","-7,672","-5,318","-4,829","-4,947","-7,258","-10,491","-10,320","-11,650","-10,429","-4,437","-2,377","-2,092",656,807,"1,865",507,-990,-30,-233,476,"5,503","5,967","3,754","1,057",-112,"2,276","2,420","2,801","3,272","6,752","6,231","5,288","3,954","4,093","5,328","4,628","2,146",419,631,-824,-578,"-2,014","-2,849","-1,564",434,-586,610,762,-203,"-3,424","-1,592",-968,"-2,109","-3,226","-2,839","-4,218","-3,597","-4,063","-4,225","-6,251","-4,311","-3,480"
25, Shiga-ken,"-7,707","-7,342","-7,975","-9,620",- 9 888,"-4,576","-2,055","-2,627","-3,945","-5,407","-2,117","-2,962","-4,197","-3,018",773,"3,275","8,298","5,950","5,501","9,816","10,427","9,353","10,362","9,653","6,629","9,056","9,357","7,171","7,103","5,051","4,978","5,863","4,076","5,048","8,130","10,277","10,442","5,124","5,039","7,157","7,305","7,376","5,294","5,789","5,891","4,723","4,840","2,412","2,204","1,768","1,803","1,593","2,891","3,030","2,875","1,084","2,316","3,114","1,283",-143,-889,"-1,987",-706,-715,-542,-411,-492,339
26, Kyoto-fu,"1,262","2,999","1,598","5,557",- 1 462,"-3,718","-5,775","1,713","3,579","2,881","3,080","2,940","4,644","8,250","5,658","4,930","3,155",-946,"7,761","5,598","-2,096",593,588,"-1,930","-1,328","-4,067","-2,649","-1,378",720,48,"-2,342","-4,341","-1,984","-4,683","-3,245","-6,377","-8,333","-4,888","-4,451","-5,508","-4,056","1,035","-1,269","-2,482","-1,994","-3,435","-5,003","-3,831","-4,240","-3,040","-1,826","-2,221","-2,790","-4,337","-3,269","-3,601","-1,940",37,-418,"-1,973","-1,174",-279,-750,"-1,662","-2,990","-3,443","-3,928","-3,474"
27, Osaka-fu,"80,079","75,531","90,405","133,546", 103 994,"120,091","150,995","168,108","155,478","139,078","130,420","99,796","76,319","79,981","81,793","81,146","56,700","26,352","1,323","-26,653","-28,769","-36,331","-44,311","-47,271","-42,464","-41,476","-40,286","-33,408","-27,324","-16,666","-13,582","-20,265","-12,573","-18,653","-35,727","-44,289","-51,722","-40,464","-38,770","-39,119","-36,874","11,748","-23,182","-27,849","-28,464","-28,953","-26,654","-20,568","-20,433","-13,892","-12,943","-8,756","-6,353","-4,952","-3,568","-2,273","-3,570","4,903","5,381","3,377",-391,"2,296","1,794","2,961","5,197","10,693","13,382","5,883"
28, Hyogo-ken,"18,903","13,523","18,516","29,581", 14 714,"22,867","34,359","44,287","40,547","31,397","29,022","18,715","11,915","9,505","14,889","25,331","17,980","2,013",24,"1,615","-5,586","-9,988","-11,394","-14,265","-15,201","-15,957","-11,532","-7,749","-6,142","-5,886","-4,785","-2,495","-2,330","-1,808","6,709","14,241","15,975","11,612","11,087","11,870","10,416","-59,626","4,694","9,907","11,658","10,860","2,310","3,923",568,"-1,179","-1,138",847,98,"-1,437",-114,203,"-2,643","1,234","-1,295","-5,214","-7,092","-7,409","-6,760","-6,657","-6,088","-7,260","-7,523","-6,220"
29, Nara-ken,"-9,369","-8,386","-7,921","-7,526",- 6 557,"-5,701","-5,508","-3,583",-373,"3,732","2,160","5,459","8,973","9,390","11,215","15,434","16,906","19,126","20,258","21,762","12,950","10,566","12,341","18,594","19,136","20,631","20,057","14,849","11,390","9,717","9,535","8,191","8,371","11,109","10,962","12,483","9,046","6,297","8,091","7,766","5,417","7,862","4,281","1,636","-1,114",-29,"-2,305","-5,145","-4,376","-4,631","-4,870","-4,892","-4,682","-4,920","-4,192","-2,884","-2,297","-1,965","-2,691","-2,781","-3,065","-3,962","-3,619","-3,467","-4,026","-3,847","-3,049","-1,696"
30, Wakayama-ken,"-4,225","-3,469","-7,227","-9,836",- 6 664,"-6,696","-5,512","-4,125","-4,813","-1,533","-1,227","-1,641","-4,244","-3,805","-5,174","-7,029","-6,295","-4,345","-3,770","-4,676","-4,554","-3,322","-1,882","-3,480","-2,779","-3,185","-3,388","-2,689","-2,738","-4,714","-5,149","-4,745","-5,267","-5,126","-3,126",-857,553,-387,"1,334","1,373","2,593","1,444",-683,"-1,861","-1,827","-1,979","-2,615","-2,923","-3,248","-3,891","-3,307","-3,646","-4,005","-4,731","-3,784","-2,504","-2,225","-1,975","-2,382","-2,505","-2,957","-3,980","-3,894","-3,488","-3,581","-3,868","-3,177","-2,151"
