Name,categories,Country,2016,2017,2018,2019,2020
Bulgaria,Grants revenue from foreign govts,BG,,,,,
Bulgaria,Grants revenue from int orgs,BG,,,,,
Bulgaria,Grants revenue from other gen govt,BG,0.0,0.0,0.0,0.0,0.0
Bulgaria,Other revenue,BG,,,,,
Bulgaria,Revenue,BG,35.1712,36.5347,38.7468,37.8122,38.2439
Bulgaria,Social contributions,BG,7.7468,8.2628,8.6694,8.8615,9.2755
Bulgaria,Tax revenue,BG,21.3005,21.4952,20.8456,21.4498,21.503
Bulgaria,Taxes on goods & services,BG,15.081,15.0044,14.4333,15.0427,14.9882
Bulgaria,"Taxes on income, profits, & capital gains",BG,5.4115,5.7009,5.6303,5.6779,5.7461
Bulgaria,Taxes on int trade & transactions,BG,0.0144,0.0137,0.0144,0.0111,0.009
Bulgaria,Taxes on payroll & workforce,BG,0.0277,0.0291,0.0308,0.0145,0.024
Bulgaria,Taxes on property,BG,0.5881,0.5763,0.5616,0.5439,0.5706
Canada,Customs & other import duties,CA,,,,,
Canada,Grants revenue,CA,0.0554,0.0539,0.0535,0.056,0.0645
Canada,Grants revenue from foreign govts,CA,,,,,
Canada,Grants revenue from int orgs,CA,,,,,
Canada,Grants revenue from other gen govt,CA,,,,,
Canada,Other revenue,CA,6.9298,7.1597,7.4055,7.3749,7.1301
Canada,Revenue,CA,40.3553,40.397,41.0757,40.7144,41.7113
Canada,Social contributions,CA,4.8202,4.5571,4.583,4.6238,4.8198
Canada,Tax revenue,CA,28.5499,28.6263,29.0338,28.6597,29.697
Canada,Taxes on goods & services,CA,7.5648,7.7174,7.6502,7.5779,7.3818
Canada,"Taxes on income, profits, & capital gains",CA,16.1127,16.1074,16.6216,16.3405,17.3372
Canada,Taxes on int trade & transactions,CA,0.269,0.2608,0.2965,0.2371,0.1818
Canada,Taxes on payroll & workforce,CA,0.6755,0.6681,0.665,0.7524,0.7867
Canada,Taxes on property,CA,3.9232,3.8681,3.7962,3.7481,4.0057
China,Customs & other import duties,CN,0.3555,0.3677,0.3164,0.2967,0.2553
China,Grants revenue,CN,0.0,0.0,0.0,0.0,0.0
China,Grants revenue from foreign govts,CN,0.0,0.0,0.0,0.0,0.0
China,Grants revenue from int orgs,CN,0.0,0.0,0.0,0.0,0.0
China,Grants revenue from other gen govt,CN,0.0,0.0,0.0,0.0,0.0
China,Other revenue,CN,4.3804,3.8474,3.3403,3.9362,3.4714
China,Revenue,CN,28.1596,27.81,28.1478,27.2682,24.5405
China,Social contributions,CN,4.8901,5.1168,6.2838,6.0554,4.7995
China,Tax revenue,CN,18.8891,18.8458,18.5238,17.2766,16.2696
China,Taxes on goods & services,CN,11.426,11.2201,11.1196,10.5105,9.7559
China,"Taxes on income, profits, & capital gains",CN,5.22,5.3178,5.372,4.814,4.6795
China,Taxes on int trade & transactions,CN,0.3555,0.3677,0.3164,0.2967,0.2553
China,Taxes on payroll & workforce,CN,0.0,0.0,0.0,0.0,0.0
China,Taxes on property,CN,1.5282,1.4839,1.4269,1.405,1.3232
Croatia,Customs & other import duties,HR,-0.0176,-0.008,0.0024,-0.0004,0.0034
Croatia,Grants revenue,HR,,,,1.607,2.691
Croatia,Grants revenue from foreign govts,HR,,,,0.0327,0.0305
Croatia,Grants revenue from int orgs,HR,,,,1.5743,2.6605
Croatia,Grants revenue from other gen govt,HR,0.0,0.0,0.0,0.0,0.0
Croatia,Other revenue,HR,,,,7.2546,7.5254
Croatia,Revenue,HR,46.5435,46.0807,46.3371,47.4726,48.0347
Croatia,Social contributions,HR,11.8821,11.8731,11.9133,11.7727,12.1312
Croatia,Tax revenue,HR,25.773,25.7138,26.3366,26.8384,25.6871
Croatia,Taxes on goods & services,HR,19.141,19.3296,19.7447,20.0071,18.8851
Croatia,"Taxes on income, profits, & capital gains",HR,5.9333,5.6871,5.8865,6.092,6.07
Croatia,Taxes on int trade & transactions,HR,-0.0176,-0.008,0.0024,-0.0004,0.0034
Croatia,Taxes on payroll & workforce,HR,0.0,0.0,0.0,0.0,0.0
Croatia,Taxes on property,HR,0.7163,0.7052,0.7029,0.7397,0.7286
Cyprus,Customs & other import duties,CY,-0.0069,0.0239,0.021,0.0669,0.0
Cyprus,Grants revenue,CY,,,,,
Cyprus,Grants revenue from foreign govts,CY,,,,,
Cyprus,Grants revenue from int orgs,CY,,,,,
Cyprus,Grants revenue from other gen govt,CY,0.0,0.0,0.0,0.0,0.0
Cyprus,Other revenue,CY,,,,,
Cyprus,Revenue,CY,37.4483,38.4311,39.2379,40.6509,40.4003
Cyprus,Social contributions,CY,8.1509,8.499,8.6172,10.6703,11.5711
Cyprus,Tax revenue,CY,23.9179,24.4395,24.6972,24.6403,23.9922
Cyprus,Taxes on goods & services,CY,13.3592,13.3062,13.6827,13.4603,12.5415
Cyprus,"Taxes on income, profits, & capital gains",CY,8.6316,9.1119,9.1571,9.248,9.6647
Cyprus,Taxes on int trade & transactions,CY,-0.0069,0.0239,0.021,0.0669,0.0
Cyprus,Taxes on payroll & workforce,CY,0.9335,0.9856,1.0097,1.0508,1.0777
Cyprus,Taxes on property,CY,0.4358,0.3131,0.272,0.284,0.2586
Czech Republic,Customs & other import duties,CZ,0.0,0.0,0.0,0.0,0.0
Czech Republic,Grants revenue,CZ,0.6847,0.8004,1.1414,1.1293,1.1653
Czech Republic,Grants revenue from foreign govts,CZ,0.0721,0.0545,0.0395,0.0297,0.0248
Czech Republic,Grants revenue from int orgs,CZ,0.6126,0.7459,1.1019,1.0996,1.1406
Czech Republic,Grants revenue from other gen govt,CZ,0.0,0.0,0.0,0.0,0.0
Czech Republic,Other revenue,CZ,4.1377,3.7096,3.7393,3.6218,3.6382
Czech Republic,Revenue,CZ,39.7479,39.774,40.7367,40.5635,40.7491
Czech Republic,Social contributions,CZ,14.6563,14.8614,15.4142,15.4585,15.9696
Czech Republic,Tax revenue,CZ,20.2692,20.4025,20.4418,20.3539,19.9759
Czech Republic,Taxes on goods & services,CZ,12.1994,12.2197,11.9321,11.8487,11.3932
Czech Republic,"Taxes on income, profits, & capital gains",CZ,7.8028,7.9208,8.2725,8.2834,8.3476
Czech Republic,Taxes on int trade & transactions,CZ,0.0,0.0,0.0,0.0,0.0
Czech Republic,Taxes on payroll & workforce,CZ,0.0,0.0,0.0,0.0,0.0
Czech Republic,Taxes on property,CZ,0.223,0.2128,0.2031,0.1905,0.2053
Denmark,Customs & other import duties,DK,0.0,0.0,0.0,0.0,0.0
Denmark,Grants revenue,DK,,,,,
Denmark,Grants revenue from foreign govts,DK,,,,,
Denmark,Grants revenue from int orgs,DK,,,,,
Denmark,Grants revenue from other gen govt,DK,0.0,0.0,0.0,0.0,0.0
Denmark,Other revenue,DK,,,,,
Denmark,Revenue,DK,52.3726,52.3358,51.3088,53.5808,53.2514
Denmark,Social contributions,DK,0.9345,0.8873,0.8444,0.8201,0.8296
Denmark,Tax revenue,DK,45.5154,45.5006,44.173,46.5831,46.6153
Denmark,Taxes on goods & services,DK,14.2305,14.0428,14.1434,13.6258,13.8293
Denmark,"Taxes on income, profits, & capital gains",DK,28.1496,28.4059,26.9363,29.6359,29.5063
Denmark,Taxes on int trade & transactions,DK,0.017,0.0157,0.0184,0.0231,0.0193
Denmark,Taxes on payroll & workforce,DK,0.6654,0.6398,0.6746,0.684,0.6925
Denmark,Taxes on property,DK,2.1881,2.1248,2.1195,2.3261,2.2778
El Salvador,Customs & other import duties,SV,0.8534,0.8438,0.8739,0.8629,0.7582
El Salvador,Grants revenue,SV,0.0953,0.14,0.1952,0.1811,0.7103
El Salvador,Grants revenue from foreign govts,SV,0.0499,0.0371,0.0945,0.0316,0.0544
El Salvador,Grants revenue from int orgs,SV,0.0456,0.103,0.1007,0.1495,0.1071
El Salvador,Grants revenue from other gen govt,SV,-0.0001,-0.0001,0.0,0.0,0.5487
El Salvador,Other revenue,SV,4.8659,5.5052,5.1101,4.0057,3.777
El Salvador,Revenue,SV,25.3795,26.4077,26.1948,25.3355,25.8524
El Salvador,Social contributions,SV,2.7079,2.6841,2.4596,2.7788,2.4177
El Salvador,Tax revenue,SV,17.7104,18.0784,18.4298,18.3699,18.9474
El Salvador,Taxes on goods & services,SV,9.6045,9.9303,10.2241,10.1146,10.2242
El Salvador,"Taxes on income, profits, & capital gains",SV,6.8174,6.8971,6.9467,6.9945,7.5596
