,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
22207,富士宮市　　　,Fujinomiya-shi,"130,770","128,784","1,355","131,223","17,681","77,294","34,921","70,335",717,"1,486","3,366","3,834","124,752","49,004","48,935","28,524","12,482","11,609","5,550","4,329",481,238,22207
22208,伊東市　　　　,Ito-shi,"68,345","67,162",344,"67,718","6,829","33,849","26,762","28,602",236,"1,079","2,103","2,107","65,932","30,478","30,422","16,892","10,218","9,304","5,555","5,540",173,128,22208
22209,島田市　　　　,Shimada-shi,"98,112","97,106",847,"97,748","12,778","56,193","28,840","51,478",610,"1,198","2,305","2,240","91,408","34,310","34,249","20,136","7,252","9,024","4,265","3,000",292,142,22209
22210,富士市　　　　,Fuji-shi,"248,399","244,284","3,551","252,243","33,258","148,073","64,166","198,008","1,567","2,676","6,321","6,253","246,540","92,581","92,438","54,491","22,848","21,313","10,184","7,665","1,016",476,22210
22211,磐田市　　　　,Iwata-shi,"167,210","161,491","5,275","169,274","22,848","99,905","43,711","69,580","1,040","1,778","5,372","5,200","172,149","61,346","61,263","35,305","15,782","14,194","6,713","4,625",634,200,22211
22212,焼津市　　　　,Yaizu-shi,"139,462","136,499","2,611","138,921","18,420","81,840","38,648","78,698",791,"1,548","3,842","3,730","130,877","50,648","50,583","29,725","11,976","12,924","5,981","4,407",492,182,22212
22213,掛川市　　　　,Kakegawa-shi,"114,602","111,526","2,828","116,907","16,060","69,041","29,096","30,122",808,"1,202","3,519","3,827","115,883","41,050","40,993","23,305","10,170","8,802","4,247","2,676",415,126,22213
22214,藤枝市　　　　,Fujieda-shi,"143,605","142,237","1,190","144,096","19,303","84,051","39,753","85,167",836,"1,568","4,188","4,027","131,503","52,315","52,268","32,503","11,401","13,841","6,921","4,225",474,206,22214
22215,御殿場市　　　,Gotemba-shi,"88,078","86,542","1,467","87,687","12,995","54,185","20,244","31,399",629,829,"4,050","4,478","86,895","31,610","31,495","17,840","8,568","6,223","3,022","2,225",392,157,22215
22216,袋井市　　　　,Fukuroi-shi,"85,789","82,615","2,375","88,286","13,001","52,667","18,997","16,242",672,792,"3,060","3,228","84,111","31,453","31,413","17,608","8,654","5,816","2,765","1,877",378,120,22216
22219,下田市　　　　,Shimoda-shi,"22,916","22,738",155,"20,898","2,234","11,658","8,848","5,947",69,354,707,772,"23,935","10,397","10,384","5,389","3,724","2,987","1,610","1,824",62,32,22219
22220,裾野市　　　　,Susono-shi,"52,737","51,984",588,"51,085","7,672","32,448","12,384","19,963",385,479,"2,007","2,404","55,947","20,792","20,762","11,741","6,395","4,280","2,188","1,398",244,90,22220
22221,湖西市　　　　,Kosai-shi,"59,789","57,319","2,249","59,057","8,080","36,227","15,079","32,403",335,583,"2,218","2,545","66,683","22,546","22,526","12,692","6,377","5,068","2,443","1,642",195,73,22221
22222,伊豆市　　　　,Izu-shi,"31,317","31,102",146,"29,784","2,933","16,489","11,752",...,116,475,911,"1,128","29,585","12,158","12,136","6,497","3,336","3,687","1,895","1,737",73,40,22222
22223,御前崎市　　　,Omaezaki-shi,"32,578","31,872",665,"31,714","4,171","19,139","8,767",...,167,400,817,"1,179","31,602","11,345","11,332","5,531","2,965","2,250","1,004",788,129,37,22223
22224,菊川市　　　　,Kikugawa-shi,"46,763","44,497","2,187","48,290","6,755","28,176","11,682","8,445",336,483,"1,739","1,851","44,413","16,095","16,068","8,704","3,834","3,306","1,562",996,203,67,22224
22225,伊豆の国市　　,Izunokuni-shi,"48,152","47,739",376,"48,016","5,889","27,334","14,788","24,551",238,604,"1,550","1,630","45,844","18,677","18,642","10,464","5,165","4,698","2,411","2,187",152,85,22225
22226,牧之原市　　　,Makinohara-shi,"45,547","44,475","1,017","44,775","5,632","26,685","13,137","8,912",210,605,"1,501","1,885","50,315","15,416","15,393","7,998","3,396","3,518","1,491","1,172",120,63,22226
22301,東伊豆町　　　,Higashiizu-cho,"12,624","12,572",49,"11,817","1,065","6,206","5,348",...,25,266,483,482,"12,173","5,620","5,607","2,722","2,071","1,667",941,"1,096",16,20,22301
22302,河津町　　　　,Kawazu-cho,"7,303","7,274",29,"7,029",793,"3,600","2,910",...,29,129,206,263,"6,828","2,919","2,916","1,578",823,890,488,493,22,15,22302
22304,南伊豆町　　　,Minamiizu-cho,"8,524","8,494",30,"8,022",824,"3,956","3,744",...,29,166,198,215,"7,968","3,435","3,428","1,834","1,004","1,140",626,667,15,9,22304
22305,松崎町　　　　,Matsuzaki-cho,"6,837","6,817",20,"6,302",627,"3,258","2,949",...,14,117,105,202,"6,483","2,832","2,830","1,481",815,916,542,534,9,7,22305
22306,西伊豆町　　　,Nishiizu-cho,"8,234","8,168",66,"7,519",666,"3,661","3,906",...,19,189,197,233,"8,080","3,673","3,667","1,957","1,195","1,327",785,755,11,9,22306
22325,函南町　　　　,Kannami-cho,"37,661","37,397",262,"37,540","4,712","21,587","11,315","22,965",236,448,"1,367","1,431","30,202","14,317","14,294","9,007","3,393","3,944","2,142","1,424",136,71,22325
22341,清水町　　　　,Shimizu-cho,"32,118","31,150",852,"32,107","4,609","19,571","7,790","27,345",212,381,"1,409","1,488","31,155","12,363","12,350","7,360","3,351","2,647","1,308","1,040",149,51,22341
22342,長泉町　　　　,Nagaizumi-cho,"42,331","41,927",289,"43,601","6,862","26,348","8,932","37,095",415,396,"2,222","2,267","40,532","16,427","16,404","9,931","4,712","3,104","1,641","1,160",200,76,22342
22344,小山町　　　　,Oyama-cho,"19,497","19,382",115,"18,083","2,377","11,929","5,092",...,97,213,963,"1,086","20,006","6,431","6,378","3,457","1,580","1,495",679,573,83,24,22344
22424,吉田町　　　　,Yoshida-cho,"29,093","28,225",821,"29,421","4,216","17,672","6,924","7,654",178,302,"1,160","1,188","30,260","10,244","10,239","5,768","2,473","2,129",908,617,119,34,22424
22429,川根本町　　　,Kawanehon-cho,"7,192","7,099",93,"6,469",535,"3,335","3,321",...,15,143,153,195,"6,944","2,883","2,878","1,352",859,"1,006",528,510,11,4,22429
22461,森町　　　　　,Mori-machi,"18,528","18,327",189,"17,979","2,277","10,518","5,709",...,73,240,374,474,"18,601","6,133","6,127","3,408","1,199","1,662",782,568,38,27,22461
23,愛知県　　　,Aichi-ken,"7,483,128","7,260,847","166,150","7,558,872","1,022,532","4,618,657","1,760,763","5,802,463","55,613","70,518","329,739","337,035","7,586,294","3,063,833","3,059,956","1,741,853","1,024,515","628,150","328,984","280,764","35,390","11,713",23
23100,名古屋市　　　,Nagoya-shi,"2,295,638","2,213,811","56,212","2,300,949","282,497","1,429,795","545,210","2,250,106","17,538","23,120","146,502","143,427","2,589,799","1,058,497","1,056,929","540,668","446,311","193,857","101,268","119,907","12,431","3,897",23100
23101,　千種区　　　　,  Chikusa-ku,"164,696","156,040","3,709","159,793","18,661","102,073","37,411","164,696","1,128","1,468","12,295","11,643","181,629","85,028","84,911","36,972","43,602","13,254","7,226","9,475",772,197,23101
23102,　東区　　　　　,  Higashi-ku,"78,043","74,158","2,317","81,353","7,917","47,484","17,445","78,043",692,691,"8,095","7,065","123,417","41,311","41,275","17,202","21,646","6,104","3,186","4,797",537,135,23102
23103,　北区　　　　　,  Kita-ku,"163,579","158,670","4,097","163,264","18,473","99,012","44,928","163,579","1,135","1,966","9,760","9,036","147,315","75,428","75,346","39,746","30,362","15,867","8,144","10,947",890,307,23103
23104,　西区　　　　　,  Nishi-ku,"149,098","144,376","2,724","146,871","17,549","94,026","35,211","149,098","1,104","1,532","9,382","9,263","156,445","70,078","70,005","34,229","30,775","12,439","6,256","7,724",885,279,23104
23105,　中村区　　　　,  Nakamura-ku,"133,206","129,186","3,586","134,305","12,897","82,689","36,114","133,206","1,004","1,665","11,311","11,103","229,194","66,039","65,828","27,756","32,674","11,550","5,766","9,095",926,220,23105
23106,　中区　　　　　,  Naka-ku,"83,203","75,018","5,566","88,934","5,726","56,900","16,877","83,203",681,762,"12,776","12,378","302,822","53,533","53,386","14,626","36,401","4,957","2,549","5,765",941,250,23106
23107,　昭和区　　　　,  Showa-ku,"107,170","102,077","3,248","105,550","11,714","68,438","24,613","107,170",849,"1,062","8,365","7,970","125,654","55,108","55,022","23,296","29,087","8,587","4,659","6,003",579,132,23107
23108,　瑞穂区　　　　,  Mizuho-ku,"105,357","103,022","1,495","108,080","12,743","64,779","26,997","105,357",819,"1,160","6,672","5,880","108,327","48,629","48,587","25,564","19,831","9,760","5,109","6,215",542,124,23108
23109,　熱田区　　　　,  Atsuta-ku,"65,895","62,882","1,324","65,236","6,633","39,848","16,721","65,895",466,717,"4,601","4,506","88,597","31,884","31,842","14,367","14,901","5,625","2,775","3,775",315,94,23109
23110,　中川区　　　　,  Nakagawa-ku,"220,281","213,743","4,802","219,318","28,373","137,358","52,140","213,612","1,780","2,342","11,818","12,527","193,815","95,495","95,396","52,224","35,131","18,648","9,295","10,265","1,312",440,23110
23111,　港区　　　　　,  Minato-ku,"146,745","139,829","6,323","144,968","18,290","90,262","37,307","139,186",849,"1,561","6,895","6,685","169,555","61,713","61,628","34,787","21,291","13,350","6,535","7,336",650,319,23111
23112,　南区　　　　　,  Minami-ku,"136,935","132,312","4,179","135,818","14,991","82,244","39,018","136,935",893,"1,737","6,795","7,936","137,368","61,064","60,983","32,102","23,864","13,667","6,777","8,727",676,231,23112
23113,　守山区　　　　,  Moriyama-ku,"172,845","168,449","3,490","176,342","25,787","105,138","40,782","156,548","1,466","1,743","8,345","7,785","149,831","69,687","69,495","43,262","21,314","14,858","7,938","6,985",802,271,23113
23114,　緑区　　　　　,  Midori-ku,"241,822","237,041","3,868","250,280","37,957","150,863","51,818","232,730","2,179","1,976","10,291","10,190","190,564","95,210","95,114","63,774","25,130","20,319","11,334","8,320","1,193",391,23114
23115,　名東区　　　　,  Meito-ku,"164,080","159,264","2,853","161,943","23,865","104,300","33,483","160,213","1,229","1,410","9,922","10,557","139,251","73,922","73,833","41,209","29,331","12,382","6,929","7,267",645,240,23115
23116,　天白区　　　　,  Tempaku-ku,"162,683","157,744","2,631","158,894","20,921","104,381","34,345","160,635","1,264","1,328","9,179","8,903","146,015","74,368","74,278","39,552","30,971","12,490","6,790","7,211",766,267,23116
23201,豊橋市　　　　,Toyohashi-shi,"374,765","361,263","12,075","375,329","52,524","230,340","89,758","265,822","2,527","3,680","9,369","11,202","363,899","144,222","144,061","83,831","42,391","30,491","15,200","12,493","1,477",541,23201
23202,岡崎市　　　　,Okazaki-shi,"381,051","371,753","7,604","386,252","56,430","240,554","81,907","289,249","2,852","3,104","11,835","13,605","356,372","147,418","147,213","87,919","42,998","28,700","15,104","10,939","1,855",598,23202
23203,一宮市　　　　,Ichinomiya-shi,"380,868","374,461","4,017","384,233","52,948","227,596","97,058","273,842","2,599","3,824","9,951","10,027","329,012","142,480","142,312","90,136","34,843","34,853","18,010","13,404","1,477",610,23203
23204,瀬戸市　　　　,Seto-shi,"129,046","125,225","2,940","129,166","16,575","75,384","36,066","95,517",697,"1,336","3,730","3,608","117,110","50,327","50,247","32,745","12,982","13,945","7,430","5,336",411,174,23204
23205,半田市　　　　,Handa-shi,"116,908","114,067","2,173","119,418","16,261","73,218","26,728","102,791",866,"1,122","4,116","4,578","116,519","46,281","46,230","28,263","13,680","9,839","5,122","4,091",511,207,23205
23206,春日井市　　　,Kasugai-shi,"306,508","298,864","4,787","310,991","43,271","185,242","75,000","271,984","2,393","2,775","10,861","11,039","279,956","124,291","124,138","77,725","36,840","29,159","16,329","11,435","1,485",523,23206
23207,豊川市　　　　,Toyokawa-shi,"182,436","177,673","4,155","186,783","26,153","110,203","45,256","118,762","1,466","1,852","5,871","5,341","172,150","67,976","67,806","41,430","17,643","15,493","7,877","5,967",804,273,23207
23208,津島市　　　　,Tsushima-shi,"63,431","62,380",830,"61,724","8,007","37,568","17,628","30,976",286,778,"1,992","2,201","59,966","23,833","23,779","14,948","5,971","6,174","3,224","2,516",205,88,23208
23209,碧南市　　　　,Hekinan-shi,"71,346","68,237","2,894","72,822","10,330","44,563","16,182","63,766",492,682,"2,652","2,826","70,323","26,477","26,461","14,888","7,727","5,333","2,511","1,960",271,103,23209
23210,刈谷市　　　　,Kariya-shi,"149,765","145,751","3,067","152,598","21,942","98,318","28,303","120,449","1,385","1,146","7,724","8,303","184,404","62,476","62,433","34,106","22,990","10,205","5,255","3,794",988,228,23210
23211,豊田市　　　　,Toyota-shi,"422,542","408,242","12,110","422,225","60,357","272,081","87,315","244,914","3,080","3,167","12,807","15,289","466,836","169,598","169,460","93,001","58,587","31,304","16,207","9,535","2,084",628,23211
23212,安城市　　　　,Anjo-shi,"184,140","178,312","5,048","190,143","28,829","118,563","35,936","123,674","1,613","1,419","7,443","8,114","192,557","70,862","70,813","41,610","21,283","12,400","6,225","4,552",980,270,23212
23213,西尾市　　　　,Nishio-shi,"167,990","162,427","5,241","171,423","24,236","103,106","40,211","80,028","1,135","1,601","4,762","5,244","161,373","58,951","58,891","33,046","14,850","12,096","5,645","4,320",609,248,23213
23214,蒲郡市　　　　,Gamagori-shi,"81,100","78,656","2,134","79,621","10,397","47,709","22,677","56,140",460,936,"2,179","2,317","75,855","29,950","29,886","17,159","7,988","7,379","3,678","3,289",290,101,23214
23215,犬山市　　　　,Inuyama-shi,"74,308","72,588","1,534","73,398","9,851","43,519","20,670","35,815",408,786,"2,476","2,564","71,545","28,269","28,202","17,832","7,264","7,639","4,277","2,529",252,86,23215
23216,常滑市　　　　,Tokoname-shi,"56,547","55,093",555,"59,010","8,135","33,202","14,143","37,975",402,595,"2,167","2,488","57,626","22,506","22,480","12,686","7,291","5,014","2,555","2,053",244,91,23216
23217,江南市　　　　,Konan-shi,"98,359","96,311","1,092","100,239","13,334","58,122","25,805","55,280",585,"1,017","3,038","3,089","82,753","37,130","37,091","23,719","9,106","9,547","5,091","3,489",341,125,23217
23219,小牧市　　　　,Komaki-shi,"149,462","143,242","5,542","152,249","20,267","89,973","33,816","116,432",901,"1,267","6,269","6,593","175,868","59,383","59,332","35,260","17,581","13,027","7,143","4,293",627,228,23219
23220,稲沢市　　　　,Inazawa-shi,"136,867","134,415","1,972","136,237","18,437","83,165","34,642","54,346",928,"1,340","4,390","4,470","131,302","49,986","49,927","31,094","11,871","12,116","6,170","4,134",485,166,23220
23221,新城市　　　　,Shinshiro-shi,"47,133","46,462",552,"45,245","5,536","26,055","15,371","9,345",184,653,"1,010","1,384","45,491","16,454","16,416","9,127","3,598","4,582","2,423","1,659",109,59,23221
23222,東海市　　　　,Tokai-shi,"111,944","109,638","1,121","114,672","17,325","69,662","23,735","100,236",946,925,"4,300","4,757","113,290","46,371","46,348","27,110","15,872","9,103","4,906","3,744",618,215,23222
23223,大府市　　　　,Obu-shi,"89,157","86,253","1,556","92,986","13,915","54,984","18,427","66,144",875,674,"3,883","4,115","89,828","35,669","35,636","21,187","11,275","6,890","3,691","2,275",503,124,23223
23224,知多市　　　　,Chita-shi,"84,617","82,786","1,361","85,302","11,829","50,839","21,432","56,252",573,831,"2,978","2,934","65,683","33,009","32,986","21,520","8,595","8,509","4,771","2,724",345,113,23224
23225,知立市　　　　,Chiryu-shi,"70,501","65,879","3,516","72,322","10,164","45,714","13,414","55,575",595,555,"4,283","4,402","58,648","29,312","29,297","16,378","10,254","4,802","2,535","2,089",458,116,23225
23226,尾張旭市　　　,Owariasahi-shi,"80,787","79,006",844,"84,054","11,504","48,186","19,920","76,938",585,702,"3,175","3,015","65,465","31,806","31,757","21,213","8,200","7,965","4,528","2,758",282,106,23226
23227,高浜市　　　　,Takahama-shi,"46,236","43,881","2,155","49,088","7,459","29,818","8,750","43,013",352,368,"2,347","2,338","42,643","17,684","17,676","10,227","5,435","2,947","1,367","1,188",233,82,23227
23228,岩倉市　　　　,Iwakura-shi,"47,562","45,370","1,790","48,075","6,100","29,672","11,361","41,483",418,453,"2,531","2,531","38,333","20,390","20,374","12,151","6,702","4,412","2,412","2,081",282,58,23228
23229,豊明市　　　　,Toyoake-shi,"69,127","66,947","1,761","68,827","9,047","42,605","17,047","57,624",534,550,"2,885","3,034","64,612","27,504","27,472","16,695","8,291","6,375","3,543","2,347",327,90,23229
23230,日進市　　　　,Nisshin-shi,"87,977","86,643","1,218","92,390","14,347","55,182","17,230","50,513",887,604,"4,699","4,160","84,550","34,210","34,163","22,425","9,231","6,663","3,815","2,110",482,119,23230
23231,田原市　　　　,Tahara-shi,"62,364","61,173",889,"60,895","8,164","37,946","15,960","11,370",356,705,"1,220","1,589","68,074","21,640","21,620","9,801","6,562","4,010","1,746","1,427",184,66,23231
23232,愛西市　　　　,Aisai-shi,"63,088","62,508",523,"62,648","8,108","36,473","18,448","16,061",273,749,"1,820","1,737","49,925","21,131","21,106","13,503","3,535","6,241","3,217","1,833",154,72,23232
23233,清須市　　　　,Kiyosu-shi,"67,327","65,793","1,118","69,422","9,534","41,834","15,377","57,305",732,622,"3,526","3,692","63,015","27,056","27,036","16,084","8,330","5,643","2,810","2,419",399,120,23233
23234,北名古屋市　　,Kitanagoya-shi,"84,133","82,519","1,297","86,295","12,572","51,227","19,908","72,909",703,706,"3,824","3,875","76,511","33,742","33,716","20,795","9,925","7,533","4,131","2,901",462,136,23234
23235,弥富市　　　　,Yatomi-shi,"43,269","42,127",770,"44,300","5,894","26,249","10,702","23,113",315,434,"1,707","1,864","42,097","16,050","16,031","9,368","4,316","3,598","1,841","1,229",177,50,23235
23236,みよし市　　　,Miyoshi-shi,"61,810","60,059","1,527","61,277","10,170","40,940","10,371","36,891",474,376,"2,802","2,904","63,866","22,552","22,517","14,394","6,169","3,674","1,985","1,141",295,106,23236
23237,あま市　　　　,Ama-shi,"86,898","85,179","1,344","89,092","12,390","51,921","22,091","69,152",681,843,"3,347","3,447","71,767","33,190","33,173","21,209","8,353","8,412","4,428","3,061",356,175,23237
23238,長久手市　　　,Nagakute-shi,"57,598","55,691",675,"60,183","9,897","37,414","8,691","43,381",636,313,"3,421","3,041","60,829","25,069","25,047","13,969","9,922","3,402","1,919","1,314",290,78,23238
23302,東郷町　　　　,Togo-cho,"42,858","41,869",757,"44,014","7,068","26,070","9,462","26,997",318,348,"1,599","1,650","34,001","15,766","15,743","10,760","3,736","3,667","2,050","1,116",157,80,23302
23342,豊山町　　　　,Toyoyama-cho,"15,177","14,740",384,"15,839","2,423","9,342","3,332","13,891",127,124,852,854,"19,643","6,181","6,178","3,571","2,038","1,257",633,512,70,36,23342
23361,大口町　　　　,Oguchi-cho,"23,274","22,893",356,"24,322","3,554","14,304","5,377","12,453",206,187,"1,091",967,"32,564","8,316","8,305","5,152","2,062","1,751",897,550,106,43,23361
23362,扶桑町　　　　,Fuso-cho,"33,806","33,491",271,"34,924","4,871","20,070","8,787","25,439",260,358,"1,463","1,225","27,154","12,679","12,669","8,236","2,961","3,301","1,816","1,019",157,43,23362
23424,大治町　　　　,Oharu-cho,"30,990","30,048",451,"33,024","4,988","18,888","6,345","28,801",275,261,"1,608","1,414","23,020","12,105","12,098","7,438","3,523","2,350","1,207",927,181,69,23424
23425,蟹江町　　　　,Kanie-cho,"37,085","35,880",763,"37,433","4,759","22,966","8,867","32,231",236,345,"1,603","1,901","29,492","14,971","14,958","8,771","4,601","3,188","1,592","1,397",185,65,23425
23427,飛島村　　　　,Tobishima-mura,"4,397","4,323",72,"4,791",604,"2,433","1,342",...,33,53,138,126,"14,004","1,259","1,257",616,221,290,132,69,4,8,23427
23441,阿久比町　　　,Agui-cho,"27,747","27,471",192,"28,597","4,476","16,116","7,096","6,046",208,263,788,829,"24,071","9,627","9,616","6,652","1,689","2,561","1,361",759,73,49,23441
23442,東浦町　　　　,Higashiura-cho,"49,230","47,753","1,107","50,342","6,913","29,957","11,921","33,009",354,508,"2,095","1,773","40,368","18,524","18,492","12,123","4,586","4,541","2,495","1,515",196,74,23442
23445,南知多町　　　,Minamichita-cho,"18,707","18,291",378,"17,126","1,823","10,412","6,438",...,56,265,370,"1,023","17,514","6,981","6,967","3,606","1,955","1,974","1,016",872,34,18,23445
23446,美浜町　　　　,Mihama-cho,"23,575","23,274",189,"21,681","2,648","14,254","6,450",...,96,274,681,681,"21,315","9,314","9,304","4,876","3,184","2,125","1,070",858,50,29,23446
23447,武豊町　　　　,Taketoyo-cho,"42,473","41,670",590,"43,588","6,242","25,934","10,069","30,250",304,395,"1,599","1,582","35,867","16,724","16,711","10,427","4,817","3,883","2,086","1,418",174,59,23447
23501,幸田町　　　　,Kota-cho,"39,549","38,873",572,"42,581","6,641","24,736","8,100","18,173",384,306,"1,757","1,644","37,528","13,693","13,676","8,448","3,154","2,589","1,344",630,198,65,23501
23561,設楽町　　　　,Shitara-cho,"5,074","5,041",33,"4,618",398,"2,270","2,401",...,10,111,101,106,"5,335","2,015","2,007","1,019",581,707,461,367,12,1,23561
23562,東栄町　　　　,Toei-cho,"3,446","3,419",27,"3,052",279,"1,487","1,680",...,12,79,68,76,"3,350","1,436","1,432",694,479,475,327,311,3,4,23562
23563,豊根村　　　　,Toyone-mura,"1,135","1,126",9,"1,057",109,476,550,...,2,31,34,40,"1,216",490,481,242,166,159,108,108,7,0,23563
24,三重県　　　,Mie-ken,"1,815,865","1,776,805","31,333","1,800,756","233,525","1,061,577","501,046","789,187","11,141","20,716","54,005","58,293","1,784,775","720,292","718,934","421,428","211,502","170,343","96,551","77,544","6,855","2,759",24
24201,津市　　　　　,Tsu-shi,"279,886","273,562","5,714","276,072","35,663","165,058","77,624","133,801","1,701","3,226","8,609","8,934","288,729","114,679","114,435","67,025","36,289","26,888","15,740","13,154",989,407,24201
24202,四日市市　　　,Yokkaichi-shi,"311,031","303,457","5,703","311,347","41,253","189,755","75,660","217,294","2,106","3,157","10,700","10,471","322,236","128,309","128,109","73,658","42,061","27,442","15,211","11,915","1,474",500,24202
24203,伊勢市　　　　,Ise-shi,"127,817","126,923",802,"124,426","15,880","73,987","37,432","58,359",766,"1,513","3,110","3,572","127,958","50,938","50,834","30,305","14,586","12,863","7,071","6,313",442,185,24203
24204,松阪市　　　　,Matsusaka-shi,"163,863","160,624","3,109","161,998","21,390","95,765","45,713","71,932","1,059","1,930","3,745","4,593","155,923","63,948","63,846","37,654","17,762","14,740","8,325","7,357",609,266,24204
24205,桑名市　　　　,Kuwana-shi,"140,303","137,174","2,225","141,291","19,309","84,198","34,590","77,836",897,"1,354","4,536","4,908","129,743","53,741","53,661","33,378","14,272","12,428","6,758","4,778",597,217,24205
24207,鈴鹿市　　　　,Suzuka-shi,"196,403","189,087","4,314","199,091","26,758","117,737","45,500","114,564","1,343","1,828","6,432","6,842","186,057","77,725","77,629","45,665","23,088","16,397","9,177","5,963",879,350,24207
24208,名張市　　　　,Nabari-shi,"78,795","78,217",458,"77,584","10,058","46,149","22,084","43,621",419,806,"1,998","2,372","68,888","30,595","30,540","20,268","7,051","8,338","5,021","2,935",221,125,24208
24209,尾鷲市　　　　,Owase-shi,"18,009","17,879",123,"17,216","1,754","8,833","7,375","11,023",64,307,428,532,"18,616","8,660","8,641","4,994","3,166","2,618","1,723","1,854",61,27,24209
24210,亀山市　　　　,Kameyama-shi,"50,254","48,396","1,619","49,564","7,014","30,083","12,440","7,873",337,555,"1,909","1,921","50,791","19,945","19,872","10,913","6,313","4,065","2,282","1,654",189,79,24210
24211,鳥羽市　　　　,Toba-shi,"19,448","19,278",165,"18,036","1,950","10,621","6,835",...,69,296,511,672,"20,637","7,730","7,675","4,009","2,381","2,092","1,150","1,137",45,16,24211
24212,熊野市　　　　,Kumano-shi,"17,322","17,247",63,"16,396","1,731","8,345","7,226",...,84,285,429,517,"17,666","8,151","8,130","4,715","3,007","2,501","1,640","1,965",45,22,24212
24214,いなべ市　　　,Inabe-shi,"45,815","44,505","1,168","45,401","5,856","27,858","11,575",...,285,500,"1,806","1,892","49,708","17,106","17,078","8,440","5,542","3,374","1,739","1,240",151,52,24214
24215,志摩市　　　　,Shima-shi,"50,341","49,935",226,"48,370","4,941","26,335","18,648",...,180,797,801,"1,126","46,708","20,057","20,013","11,384","5,393","6,035","3,263","3,064",99,52,24215
24216,伊賀市　　　　,Iga-shi,"90,581","87,286","3,281","89,763","10,763","51,131","28,668","18,913",499,"1,257","2,362","2,978","95,426","33,651","33,588","17,451","9,362","7,827","4,395","3,809",334,154,24216
24303,木曽岬町　　　,Kisosaki-cho,"6,357","6,165",192,"6,195",653,"3,783","1,919",...,19,68,225,254,"5,886","2,174","2,171","1,243",478,620,290,172,9,12,24303
24324,東員町　　　　,Toin-cho,"25,344","24,859",354,"25,942","3,374","14,704","6,967","12,213",189,224,796,735,"22,030","8,863","8,853","5,913","1,640","2,528","1,442",653,73,30,24324
24341,菰野町　　　　,Komono-cho,"40,210","39,640",504,"41,643","5,789","24,067","10,187","12,651",311,417,"1,448","1,373","34,270","14,423","14,403","8,999","3,285","3,329","1,826","1,240",140,66,24341
24343,朝日町　　　　,Asahi-cho,"10,560","10,345",85,"10,984","2,225","6,017","2,015",...,101,94,487,413,"9,355","3,852","3,849","2,500",945,685,408,278,43,15,24343
24344,川越町　　　　,Kawagoe-cho,"14,752","14,383",344,"15,233","2,364","9,575","2,735","9,107",144,121,932,958,"14,063","6,023","6,017","3,433","2,033",977,504,416,95,32,24344
24441,多気町　　　　,Taki-cho,"14,878","14,807",65,"14,346","1,900","8,189","4,655",...,63,191,288,337,"15,777","5,160","5,148","2,727","1,252","1,275",701,479,37,15,24441
24442,明和町　　　　,Meiwa-cho,"22,586","22,439",121,"23,083","3,036","12,880","6,518",...,164,261,633,563,"19,619","7,697","7,678","4,750","1,392","1,944","1,071",680,88,28,24442
24443,大台町　　　　,Odai-cho,"9,557","9,499",58,"8,956",987,"4,765","3,797",...,39,182,197,264,"9,123","3,778","3,766","2,228","1,003","1,245",743,646,24,11,24443
24461,玉城町　　　　,Tamaki-cho,"15,431","15,270",158,"15,378","2,300","9,011","3,956",...,97,151,445,441,"15,397","5,260","5,249","3,217","1,074","1,179",610,421,61,26,24461
24470,度会町　　　　,Watarai-cho,"8,309","8,265",43,"7,996","1,010","4,652","2,646",...,36,106,139,203,"6,462","2,626","2,622","1,465",399,680,350,240,18,7,24470
24471,大紀町　　　　,Taiki-cho,"8,939","8,862",77,"8,121",758,"4,126","4,039",...,20,194,122,166,"8,119","3,691","3,677","2,220","1,033","1,334",817,737,20,8,24471
24472,南伊勢町　　　,Minamiise-cho,"12,788","12,745",42,"11,985",860,"5,644","6,278",...,32,264,181,315,"11,800","5,432","5,419","2,981","1,612","2,036","1,252","1,210",33,8,24472
24543,紀北町　　　　,Kihoku-cho,"16,338","16,121",211,"15,273","1,512","7,888","6,899",...,40,343,260,386,"15,758","7,269","7,237","4,335","2,353","2,371","1,461","1,487",28,19,24543
24561,御浜町　　　　,Mihama-cho,"8,741","8,703",38,"8,355","1,046","4,414","3,279",...,28,145,211,229,"8,418","3,862","3,853","2,447","1,197","1,151",731,800,17,10,24561
24562,紀宝町　　　　,Kiho-cho,"11,207","11,132",71,"10,711","1,391","6,007","3,786",...,49,144,265,326,"9,612","4,947","4,941","3,111","1,533","1,381",850,947,34,20,24562
