,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
1000,北海道,60000,移動者,28000,兵庫県,1,-12,-8,5,15,-7,-37,21,3,3,22,-17,4,-4,16,3,-3,-6,4,-1,45,-15,2,1,15,19,-9,9,7,-4,13,0,2,0,8,0,-2,-3,1,1,-44,3,-10,4,0,-26,-28,12,-4,7,9,-17,2,-4,8,3,-1,-3,3,-2
1000,北海道,60000,移動者,29000,奈良県,84,1,4,2,-6,15,37,9,12,2,-2,-1,0,4,5,0,2,-3,2,1,48,2,5,1,-3,12,22,2,8,-1,0,-1,0,2,1,-1,1,-2,1,-1,36,-1,-1,1,-3,3,15,7,4,3,-2,0,0,2,4,1,1,-1,1,2
1000,北海道,60000,移動者,30000,和歌山県,-20,-3,-3,0,1,7,-11,0,3,-2,-4,-9,2,-3,-1,-1,2,0,1,1,-10,-2,-1,-1,3,0,0,0,2,1,-2,-6,2,-5,-1,0,1,0,-1,0,-10,-1,-2,1,-2,7,-11,0,1,-3,-2,-3,0,2,0,-1,1,0,2,1
1000,北海道,60000,移動者,31000,鳥取県,3,-3,-1,1,2,1,7,-4,-6,3,5,-4,1,0,0,0,0,0,1,0,9,-1,1,1,4,2,0,1,-5,4,4,-3,0,0,0,0,0,0,1,0,-6,-2,-2,0,-2,-1,7,-5,-1,-1,1,-1,1,0,0,0,0,0,0,0
1000,北海道,60000,移動者,32000,島根県,-13,3,-3,-4,2,-7,-1,0,0,-5,-4,3,-3,1,1,2,0,1,1,0,-2,-1,0,-2,4,0,-3,-1,3,-5,-1,4,-3,1,0,1,0,0,1,0,-11,4,-3,-2,-2,-7,2,1,-3,0,-3,-1,0,0,1,1,0,1,0,0
1000,北海道,60000,移動者,33000,岡山県,-41,-7,-8,5,7,-13,0,-11,-22,3,3,-4,1,-1,4,1,0,1,-1,1,-14,2,-8,2,6,-1,-2,-5,-11,3,-1,-4,-1,1,4,0,1,0,0,0,-27,-9,0,3,1,-12,2,-6,-11,0,4,0,2,-2,0,1,-1,1,-1,1
1000,北海道,60000,移動者,34000,広島県,-20,-9,4,1,0,-8,-12,-14,6,0,-5,4,8,8,2,-3,-2,1,0,-1,-1,-10,-4,1,-1,7,3,-6,7,-5,-5,7,1,7,0,-2,0,0,0,-1,-19,1,8,0,1,-15,-15,-8,-1,5,0,-3,7,1,2,-1,-2,1,0,0
1000,北海道,60000,移動者,35000,山口県,-33,-1,-3,-6,-3,16,-9,-9,-4,-2,-16,1,-1,4,-2,-1,2,0,2,-1,-17,0,-4,-5,10,1,0,-9,-3,-3,-9,2,1,2,-2,-1,1,0,2,0,-16,-1,1,-1,-13,15,-9,0,-1,1,-7,-1,-2,2,0,0,1,0,0,-1
1000,北海道,60000,移動者,36000,徳島県,22,1,-2,1,3,12,5,6,3,-3,-5,0,-2,-1,3,0,1,1,-1,0,20,1,-1,0,-1,12,5,7,1,-3,-2,-1,0,0,3,0,0,0,-1,0,2,0,-1,1,4,0,0,-1,2,0,-3,1,-2,-1,0,0,1,1,0,0
1000,北海道,60000,移動者,37000,香川県,-18,-1,-6,-1,14,-4,1,-8,-5,3,-2,-3,4,-6,-2,-1,-2,0,1,0,-4,-4,-2,-2,9,-2,4,-7,-2,1,3,-1,3,-4,-1,0,0,0,1,0,-14,3,-4,1,5,-2,-3,-1,-3,2,-5,-2,1,-2,-1,-1,-2,0,0,0
