Name,categories,Country,2016,2017,2018,2019,2020
Austria,Expenditure on unemployment,AT,1.3818,1.3029,1.2179,1.19,1.9134
Austria,Expenditure on waste management,AT,0.0486,0.047,0.0477,0.0479,0.0511
Austria,Expenditure on waste water management,AT,0.0979,0.0832,0.088,0.0939,0.0769
Austria,Expenditure on water supply,AT,0.0248,0.02,0.0214,0.019,0.0147
Azerbaijan,Expenditure,AZ,32.7801,33.4821,30.2601,32.3938,
Azerbaijan,"Expenditure on agriculture, fishing, forestry, & hunting",AZ,1.0041,0.8296,1.0485,1.0627,
Azerbaijan,Expenditure on biodiversity & landscape protection,AZ,0.0391,0.0212,0.0207,0.0171,
Azerbaijan,Expenditure on broadcasting & publishing ,AZ,0.1158,0.0843,0.0759,0.0775,
Azerbaijan,Expenditure on civil defense,AZ,0.0,0.0,0.0,0.0,
Azerbaijan,Expenditure on communication,AZ,0.006,0.0018,0.0705,0.0617,
Azerbaijan,Expenditure on community development,AZ,0.4382,0.3261,0.3558,0.3015,
Azerbaijan,Expenditure on cultural services,AZ,0.1921,0.1472,0.1405,0.1512,
Azerbaijan,Expenditure on defense,AZ,3.4494,3.5721,3.3623,3.6683,
Azerbaijan,Expenditure on economic affairs,AZ,8.8023,13.1622,9.7384,9.5004,
Azerbaijan,"Expenditure on economic, commercial, & labour affairs",AZ,0.5513,1.1138,1.7052,0.4655,
Azerbaijan,Expenditure on education,AZ,3.0964,2.6185,2.5583,2.7836,
Azerbaijan,Expenditure on education not definable by level,AZ,0.0056,0.0051,0.0032,0.0021,
Azerbaijan,Expenditure on environment protection,AZ,0.0394,0.0216,0.021,0.0172,
Azerbaijan,Expenditure on family & children,AZ,0.472,0.3934,0.211,0.2822,
Azerbaijan,Expenditure on fire protection services,AZ,0.0,0.0,0.0,0.0,
Azerbaijan,Expenditure on foreign military aid,AZ,0.0,0.0,0.0,0.0,
Azerbaijan,Expenditure on fuel & energy,AZ,1.914,1.0811,0.0637,0.0297,
Azerbaijan,Expenditure on general public services,AZ,4.3515,3.7497,4.8515,5.9446,
Azerbaijan,Expenditure on health,AZ,1.2065,1.0406,0.9177,1.1045,
