Country,categories,2016,2017,2018,2019,2020
MD,Tax revenue,18.1769,19.273,19.8193,19.0645,19.9534
MD,"Taxes on income, profits, & capital gains",4.0693,4.3173,4.9147,4.4433,4.663
MD,Customs & other import duties,0.6113,0.5971,0.5842,0.5698,0.5981
MD,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
MD,Taxes on property,0.2509,0.3053,0.2967,0.276,0.2924
MD,Taxes on goods & services,12.9538,13.7609,13.7313,13.4892,14.1251
MD,Taxes on int trade & transactions,0.9028,0.8895,0.8767,0.856,0.8729
MD,Social contributions,8.2559,8.672,9.0284,8.7596,9.6561
MD,Grants revenue,0.8535,0.564,0.2039,0.7628,0.3261
MD,Grants revenue from foreign govts,0.117,0.0359,0.0478,0.0186,0.0042
MD,Grants revenue from int orgs,0.7364,0.528,0.156,0.7442,0.3219
MD,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
MD,Other revenue,1.2894,1.3308,1.4699,1.3748,1.5153
AZ,Revenue,35.2516,35.3386,39.7199,43.128,
AZ,Tax revenue,14.6835,13.2786,13.0847,14.3416,
AZ,"Taxes on income, profits, & capital gains",5.2099,4.7572,4.3921,4.302,
AZ,Customs & other import duties,0.992,0.9989,1.1006,1.3529,
AZ,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,
AZ,Taxes on property,0.3949,0.3473,0.309,0.3376,
AZ,Taxes on goods & services,7.8949,6.8981,7.0528,8.0558,
AZ,Taxes on int trade & transactions,1.1838,1.276,1.3307,1.6461,
AZ,Social contributions,3.1791,2.9653,2.9055,3.6507,
AZ,Grants revenue,0.0,0.0,0.0065,0.0,
AZ,Grants revenue from foreign govts,0.0,0.0,0.0,0.0,
AZ,Grants revenue from int orgs,0.0,0.0,0.0,0.0,
AZ,Grants revenue from other gen govt,0.0,0.0,0.0065,0.0,
AZ,Other revenue,17.3889,19.0947,23.7232,25.1357,
MN,Revenue,25.2218,29.3429,33.3672,35.7223,33.4344
MN,Tax revenue,14.6845,17.2138,20.3399,20.5497,17.655
MN,"Taxes on income, profits, & capital gains",4.3577,5.787,7.4523,7.8483,6.0398
MN,Customs & other import duties,1.3714,1.8379,2.1093,2.1195,1.9988
MN,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
MN,Taxes on property,0.4371,0.4704,0.4356,0.4141,0.4191
MN,Taxes on goods & services,8.2658,8.5305,9.8473,9.7819,8.8688
MN,Taxes on int trade & transactions,1.372,2.0686,2.1114,2.1195,1.9991
MN,Social contributions,5.4924,5.5388,5.5869,6.0703,5.0629
MN,Grants revenue,0.3224,0.2218,0.132,0.0893,0.28
MN,Grants revenue from foreign govts,0.3224,0.2218,0.132,0.0893,0.28
MN,Grants revenue from int orgs,0.0,0.0,0.0,0.0,0.0
MN,Grants revenue from other gen govt,0.0,0.0,-0.0,0.0,0.0001
MN,Other revenue,4.7226,6.3685,7.3085,9.013,10.4365
MM,Revenue,19.0673,18.5967,7.9585,16.3879,
MM,Tax revenue,7.8395,6.7032,3.0428,6.5819,
MM,"Taxes on income, profits, & capital gains",2.5676,2.3398,0.8347,2.0932,
MM,Customs & other import duties,0.647,0.5925,0.2863,0.4417,
MM,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,
MM,Taxes on property,0.0494,0.0485,0.0145,0.0349,
MM,Taxes on goods & services,4.4996,3.6318,1.8756,3.9556,
MM,Taxes on int trade & transactions,0.647,0.5925,0.2863,0.4417,
MM,Social contributions,0.0987,0.1005,0.0602,0.124,
MM,Grants revenue,0.4862,0.7873,0.1178,0.3951,
MM,Grants revenue from foreign govts,0.0,0.0,0.0,0.0,
MM,Grants revenue from int orgs,0.4862,0.7873,0.1178,0.3951,
MM,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,
MM,Other revenue,10.6429,11.0057,4.7377,9.2869,
,Revenue,35.3958,38.6966,35.8763,,
,Tax revenue,30.0963,31.6946,29.1822,,
,"Taxes on income, profits, & capital gains",13.0665,12.7921,12.0711,,
,Customs & other import duties,8.922,11.4224,9.5965,,
,Taxes on payroll & workforce,0.0,0.0,0.0,,
,Taxes on property,0.0,0.0,0.0,,
,Taxes on goods & services,8.1078,7.4802,7.5146,,
,Taxes on int trade & transactions,8.922,11.4224,9.5965,,
,Social contributions,0.364,0.4017,0.343,,
,Grants revenue,0.101,0.0335,0.0397,,
,Grants revenue from foreign govts,0.101,0.0335,0.0397,,
,Grants revenue from int orgs,0.0,0.0,0.0,,
,Grants revenue from other gen govt,0.0,0.0,0.0,,
,Other revenue,4.8345,6.5667,6.3113,,
NP,Revenue,,,,24.5615,25.3314
NP,Tax revenue,,,,20.3313,19.0621
NP,"Taxes on income, profits, & capital gains",,,,4.8797,5.4821
NP,Customs & other import duties,,,,3.5504,3.0037
NP,Taxes on payroll & workforce,,,,0.1556,0.1662
NP,Taxes on property,,,,0.0028,0.9896
NP,Taxes on goods & services,,,,11.5188,9.2168
NP,Taxes on int trade & transactions,,,,3.714,3.1622
NP,Social contributions,,,,0.0,0.0
NP,Grants revenue,,,,0.7666,0.7684
NP,Grants revenue from foreign govts,,,,0.225,0.0006
NP,Grants revenue from int orgs,,,,0.5416,0.7678
NP,Grants revenue from other gen govt,,,,0.0,0.0
NP,Other revenue,,,,3.4636,5.501
NL,Revenue,42.8135,42.9227,42.8718,42.9579,43.0874
NL,Tax revenue,23.2995,24.4598,24.4044,25.3802,25.6358
NL,"Taxes on income, profits, & capital gains",10.446,11.6184,11.4691,12.1767,12.1396
NL,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
NL,Taxes on payroll & workforce,0.0748,0.0771,0.0727,0.061,0.1994
NL,Taxes on property,1.1211,1.1108,1.1004,1.0523,1.1587
NL,Taxes on goods & services,10.5885,10.6006,10.7438,11.0962,11.1183
NL,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
NL,Social contributions,15.1744,14.2973,14.4362,13.9166,14.0995
NL,Grants revenue,0.1273,0.1253,0.1233,0.1298,0.1289
NL,Grants revenue from foreign govts,0.0512,0.0423,0.0432,0.0428,0.0404
NL,Grants revenue from int orgs,0.0761,0.083,0.0801,0.087,0.0885
NL,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
NL,Other revenue,4.2123,4.0403,3.9079,3.5312,3.2232
NZ,Revenue,36.3299,35.959,35.8084,36.523,35.6446
NZ,Tax revenue,29.9179,29.8555,29.9102,30.6026,29.9535
NZ,"Taxes on income, profits, & capital gains",17.1738,17.2979,17.3271,17.983,17.2352
NZ,Customs & other import duties,0.9158,0.8902,0.9047,0.879,0.9259
NZ,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
NZ,Taxes on property,1.9819,1.941,1.933,1.954,2.026
NZ,Taxes on goods & services,9.8258,9.7055,9.7228,9.7641,9.7261
NZ,Taxes on int trade & transactions,0.9363,0.9108,0.9265,0.9001,0.9646
NZ,Social contributions,0.7685,0.7204,0.6582,0.6776,0.6721
NZ,Grants revenue,0.1068,0.0882,0.0955,0.0985,0.1026
NZ,Grants revenue from foreign govts,0.1068,0.0882,0.0955,0.0985,0.1026
NZ,Grants revenue from int orgs,0.0,0.0,0.0,0.0,0.0
NZ,Grants revenue from other gen govt,0.0,-0.0,0.0,0.0,0.0
NZ,Other revenue,5.5367,5.2948,5.1445,5.1443,4.9165
MK,Revenue,28.8963,29.3938,29.0719,30.76,29.8203
MK,Tax revenue,18.2726,18.4062,18.8037,18.4072,17.4202
MK,"Taxes on income, profits, & capital gains",4.246,4.3575,4.9682,4.4498,4.4473
